geometry_type,latitude,longitude,global_id,name,category,sub_type,management,education,poi_type,number_of_teachers,number_of_students,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,lon,lat,alternate_name
POINT,11.233161090000067,8.055768013000034,0b74de67-3ee0-4634-b8e1-e78d36f5c131,Universal Basic Education Anguwan Bazai,Primary,Primary,Public,Formal,School,,,KD1805,NMIS,Gubuchi,19018,Makarfi,KD,Kaduna,8.055768013000034,11.233161090000067,
POINT,10.927112700000066,7.717871040000034,0b7c56ce-ffef-4f9c-b06f-1e17acab7304,Universal Basic Education Damari Gari Primary School,Primary,Primary,Public,Formal,School,,,KD0412,NMIS,Zangon Aya,19004,Igabi,KD,Kaduna,7.717871040000034,10.927112700000066,
POINT,10.812135101000024,7.303511750000041,0b7da568-23d4-4fac-801d-840afbb04fab,Eccde Sabon Birnin Daji Pre Primary School,Primary,Standard,Public,Formal,School,,,KD0410,NMIS,Sabon Birnin,19004,Igabi,KD,Kaduna,7.303511750000041,10.812135101000024,
POINT,9.658119679000038,7.932241559000033,0b80167c-7efe-42fa-8cff-1d3e4de6b2d7,Universal Basic Education Primary School Sabon Gari Gantan,Primary,Primary,Public,Formal,School,,,KD0811,NMIS,Kwaturu,19008,Kachia,KD,Kaduna,7.932241559000033,9.658119679000038,
POINT,10.434871120000025,7.428438210000024,0ba2d77c-e465-4d13-94f4-e15577cbccd0,World Class Schools,Primary,Standard,Private,Formal,School,,,KD0212,NMIS,Yelwa,19002,Chikun,KD,Kaduna,7.428438210000024,10.434871120000025,
POINT,10.880215591000024,7.713465110000072,0ba5e4c8-c789-48ef-aa78-facbf5995809,Anguwan Bouwa Primary School,Primary,Primary,Public,Formal,School,,,KD0411,NMIS,Turunku,19004,Igabi,KD,Kaduna,7.713465110000072,10.880215591000024,
POINT,11.261415370000066,7.429856190000066,0bcd35a7-ec4e-4db4-b5fa-701cb1867e3c,Nomadic Primary School Kwandari,Primary,Primary,Public,Formal,School,,,KD0304,NMIS,Giwa,19003,Giwa,KD,Kaduna,7.429856190000066,11.261415370000066,
POINT,10.459105041000043,7.3979691000000685,0bcf55e4-ea44-45ca-80eb-8cb6fc2f3098,Maranathan Children School,Primary,Standard,Private,Formal,School,,,KD0210,NMIS,Sabon Gari Nassarawa,19002,Chikun,KD,Kaduna,7.3979691000000685,10.459105041000043,
POINT,11.319576501000029,7.750977874000057,0be781fc-b987-40aa-b472-2570b2da3a43,Government Secondary School Kudan Junior,Secondary,Junior,Public,Formal,School,,,KD1606,NMIS,Kudan,19016,Kudan,KD,Kaduna,7.750977874000057,11.319576501000029,
POINT,11.119411341000045,7.734273830000063,0bfb661b-d14a-4f70-9d35-7368b1367ac9,St?? John Nursery and Primary School,Primary,Standard,Faith Based,Integrated,School,,,KD1908,NMIS,Muchiya,19019,Sabon Gari,KD,Kaduna,7.734273830000063,11.119411341000045,
