lon,lat,school_name,ward_code,ward_name,lga_code,lga_name
7.58815185,11.13581395,Universal Basic Education Primary School Yan Daka,KD0308,Panhauya,19003,Giwa
8.58870052,11.00616462,Nomadic Dori Primary Dori,KD1504,Haskiya,19015,Kubau
8.0019629,9.491431118,Nomadic,KD0607,Nok,19006,Jaba
7.963398099,9.484827519,LGEA Primary School,KD0603,Dura Bitaro,19006,Jaba
7.17874596,10.28891205,LGEA Shepe,KD0202,Gwagwada,19002,Chikun
8.54400668,9.338748891,Universal Basic Education Ayu Seminary,KD2004,Bokana,19020,Sanga
7.617189288,11.01934612,Universal Basic Education Kasuwan Dutse,KD2301,Dutsen Abba,19023,Zaria
7.72364492,11.07264498,Bene Cpmprhensive School,KD2306,Kwarbai A,19023,Zaria
8.31760413,11.13287758,Universal Basic Education Dion Sabo,KD1506,Kargi,19015,Kubau
8.54681669,10.76182453,Universal Basic Education Koso Primary School,KD1502,Damau,19015,Kubau
7.407723333,10.51950833,Auntee Niimatu Nursery Primary and Junior Secondary School,KD1007,Sabon Gari South,19010,Kaduna South
8.011876345,10.04181504,Universal Basic Education Primary Kurmi Biri Ii,KD0801,Agunu,19008,Kachia
7.40405019,10.41288002,Liberty International School,KD0203,Kakau,19002,Chikun
7.797036767,11.22543633,Universal Basic Education,KD1609,Taba,19016,Kudan
7.42268978,10.4322046,Ammega Model Nursery Primary School and Ssecondary School,KD0212,Yelwa,19002,Chikun
8.575076,9.084046,Local Government Education Authority Primary School,KD2009,Ninzo South,19020,Sanga
8.30602987,9.582837811,LGEA Ungwar Mamuda,KD0711,Maigizo,19007,Jema'A
7.747780681,11.24755919,LGEA Lafiya,KD1602,Garu,19016,Kudan
7.430663109,10.50224841,A B S I Primary School,KD0902,Dadi Riba,19009,Kaduna North
8.20737461,11.05674875,Universal Basic Education Unguwan Tafki Primary School,KD1508,Mah,19015,Kubau
7.817367911,11.27753019,Universal Basic Education Anguwan Makera,KD1801,Dan Damisa,19018,Makarfi
7.05697376,11.03541419,LGEA Ruwan Sarki,KD0107,Damari,19001,Birnin Gwari
6.929676667,10.57924167,Universal Basic Education Kunai Primary School,KD0205,Kunai,19002,Chikun
7.330797,11.05885632,Government Junior Secondary School Galadimawa,KD0302,Galadimawa,19003,Giwa
6.111965775,10.78542531,Universal Basic Education Primary School Ishiwai,KD0102,Kakangi,19001,Birnin Gwari
7.985955477,9.430984855,Baptist High School,KD0603,Dura Bitaro,19006,Jaba
8.22456535,10.75248606,Universal Basic Education Wanya Primary School,KD1511,Zuntu,19015,Kubau
